# СВЕРКА КБЖУ — Фабрика Вкусно
"# Источник ""этикетка"": данные с этикеток вторых блюд (точные, на порцию) — 83 блюда, проверять не нужно."
"# Источник ""расчёт (bzhu)"": прочие блюда (салаты, супы, выпечка, бутерброды и т.п.) — ккал пересчитана по Б/Ж/У."
# Значения даны и на 100 г, и на порцию. Отсортировано по ккал/100г (сверху самые калорийные).
"# Пометка ""ПРОВЕРИТЬ"": ккал/100г >= 350 у блюд НЕ с этикетки — кандидаты на сверку с рецептурой."

Название;Источник;Вес порции г;Ккал/100г;Б/100г;Ж/100г;У/100г;Ккал порция;Б порция;Ж порция;У порция;Пометка
Бифштекс с картофелем запечённым;этикетка;225;192;5.6;13.8;11.2;431;12.5;31.1;25.3;
Поджарка из минтая с рисом отварным и овощами;этикетка;250;189;5.2;12.1;14.6;472;12.9;30.3;36.6;
Котлета куриная с картофелем запечённым;этикетка;240;188;6.1;12.8;12.2;452;14.7;30.6;29.2;
Салат «Гнездо глухаря»;расчёт (bzhu);150;187;8.0;15.0;5.0;280;12;22.5;7.5;
Котлета «По-хлыновски» с макаронами отварными;этикетка;250;187;5.4;11.0;16.4;468;13.4;27.6;41.1;
Котлета «По-хлыновски» с кашей гречневой;этикетка;250;187;6.3;10.0;17.9;468;15.8;25;44.7;
Тефтели с рисом и томатным соусом с макаронами отварными;этикетка;300;185;5.8;10.3;17.1;556;17.5;31;51.2;
Тефтели с рисом и томатным соусом с кашей гречневой;этикетка;300;185;6.6;9.5;18.3;556;19.9;28.4;54.8;
Зраза рубленая с яйцом и картофелем запечённым;этикетка;270;185;5.7;12.9;11.5;499;15.3;34.7;31.1;
Рыба жареная в кляре с макаронами отварными;этикетка;240;184;8.0;10.4;14.5;441;19.2;24.9;34.7;
Котлета «Киевская» с макаронами отварными;этикетка;250;183;7.8;8.9;17.8;458;19.6;22.3;44.5;
Голубцы;этикетка;220;179;4.5;15.0;6.5;394;9.9;33;14.3;
Отбивная куриная в кляре с картофелем запечённым;этикетка;230;177;6.3;11.6;11.7;406;14.5;26.6;27;
Котлета домашняя с картофелем запечённым;этикетка;250;177;5.6;10.9;14.0;442;13.9;27.3;35;
Бифштекс с картофельным пюре;этикетка;225;176;5.1;12.6;10.4;395;11.4;28.4;23.3;
Рыба жареная в кляре с рисом отварным и овощами;этикетка;240;175;7.2;10.1;13.8;420;17.3;24.2;33.2;
Котлета куриная с картофельным пюре;этикетка;240;173;5.7;11.6;11.3;416;13.7;27.9;27.2;
Рулет куриный с макаронами отварными;этикетка;250;171;7.1;9.5;14.2;428;17.8;23.7;35.5;
Зраза рубленая с яйцом с картофельным пюре;этикетка;270;171;5.3;11.9;10.8;463;14.3;32;29.2;
Шашлык куриный жареный во фритюре с макаронами отварными;этикетка;200;170;4.9;9.0;17.3;341;9.8;18;34.6;
Отбивная куриная «Особенная» с макаронами отварными;этикетка;250;169;7.8;8.4;15.2;422;19.6;21.1;38.1;
